captured_at,account,symbol,symbol_ib,localSymbol,conId,secType,currency,exchange,primaryExchange,qty,avgCost
2025-12-30 12:56:19,U805366,CORBF,CORBF,CORBF,309790398,STK,USD,PINK,,32550.0,0.84969135
2025-12-30 12:56:19,U805366,NVIVQ,NVIVQ,NVIVQ,558667710,STK,USD,VALUE,,42845.0,0.34979005
2025-12-30 12:56:19,U805366,FMCCK,FMCCK,FMCCK,14075949,STK,USD,PINK,,500.0,23.3232028
2025-12-30 12:56:19,U805366,BFF,BFF,BFF,272334042,STK,EUR,BVME,,4000.0,8.1404675
2025-12-30 12:56:19,U805366,FMCCL,FMCCL,FMCCL,14075955,STK,USD,PINK,,500.0,21.2983168
2025-12-30 12:56:19,U805366,MRTX.CVR,MRTX.CVR,MRTX.CVR,680613540,STK,USD,VALUE,,2200.0,0.7
2025-12-30 12:56:19,U805366,QDEL,QDEL,QDEL,564701585,STK,USD,NASDAQ,,8000.0,27.4542378
2025-12-30 12:56:19,U805366,POST,POST,POST,100547520,STK,USD,NYSE,,2500.0,28.4965037
2025-12-30 12:56:19,U805366,WEST,WEST,WEST,582325897,STK,USD,NASDAQ,,-3000.0,7.0168616
2025-12-30 12:56:19,U805366,GLIBK,GLIBK,GLIBK,798501308,STK,USD,NASDAQ,,449.0,14.5501138
2025-12-30 12:56:19,U805366,GLIBK.OS,GLIBK.OS,GLIBK.OS,839397976,STK,USD,CORPACT,,1000.0,27.2
2025-12-30 12:56:19,U805366,BUR,BUR,BUR,450862219,STK,USD,NYSE,,5090.0,9.68511925
2025-12-30 12:56:19,U805366,GLIBK.EX,GLIBK.EX,GLIBK.EX,839397975,STK,USD,CORPACT,,172.0,27.2
2025-12-30 12:56:19,U805366,AXP,AXP,AXP,4721,STK,USD,NYSE,,364.0,56.66903625
2025-12-30 12:56:19,U805366,FTRE,FTRE,FTRE,636473747,STK,USD,NASDAQ,,2000.0,10.41942955
2025-12-30 12:56:19,U805366,ABMD.CVR,ABMD.CVR,ABMD.CVR,605338224,STK,USD,VALUE,,60.0,1.02
2025-12-30 12:56:19,U805366,CC,CC,CC,196682709,STK,USD,NYSE,,14523.0,10.6819994
